"","ID","site","clone","clone.new","row","col","F1","F2","F23","F24","F24.segment_L","F24.segment_P","F24.segment","X24.GCC","X24.RCC","F25","F25.segment_P","F25.segment_L","F25.segment","X25.GCC","X25.RCC"
"1","H1x1","H","25","25","1","1","3",3,2,3,0.192466418,0.168598766,0.180532592,0.446382067,0.322667331,3,0.309791086,0.283778296,0.296784691,0.448176545,0.340962041
"48","H2x1","H","82","90","2","1","0",1,0,1,0.018321822,0.015000988,0.016661405,0.457603286,0.337564407,2,0.122757968,0.101690243,0.112224105,0.451321443,0.359664407
"95","H3x1","H","23","88","3","1","1",2,1,3,0.213529213,0.194983507,0.20425636,0.459935202,0.32141055,3,0.437130416,0.401147927,0.419139172,0.453416721,0.349272083
"142","H4x1","H","82","82","4","1","2",3,1,3,0.083890143,0.087959235,0.085924689,0.465399026,0.323886133,3,0.341964744,0.288067469,0.315016106,0.449677206,0.356501218
"189","H5x1","H","76","81","5","1","1",2,1,3,0.119652344,0.111008541,0.115330443,0.467704181,0.328839016,2,0.252955438,0.285394839,0.269175139,0.452517458,0.347984445
"236","H6x1","H","72",NA,"6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","H7x1","H","67","71","7","1","3",3,2,3,0.25831011,0.247300142,0.252805126,0.489456879,0.348412054,3,0.231343295,0.325468536,0.278405915,0.47058717,0.36801124
"330","H8x1","H","63","92","8","1","0",1,0,2,0.06531828,0.098540932,0.081929606,0.45726785,0.3370535,2,0.138673058,0.102732109,0.120702584,0.449578984,0.365009733
"377","H9x1","H","32","80","9","1","1",3,1,2,0.080047318,0.0740877,0.077067509,0.449793514,0.339171571,1,0.098856419,0.095094672,0.096975545,0.448326273,0.362772595
"424","H10x1","H","50","49","10","1","0",1,0,3,0.080706735,0.100183064,0.090444899,0.452412966,0.333982268,1,0.073479106,0.057013468,0.065246287,0.445972422,0.357969867
"471","H11x1","H","25","25","11","1","2",3,2,4,0.2205084,0.231750954,0.226129677,0.450218889,0.325948996,3,0.346431221,0.305472023,0.325951622,0.456596658,0.337235507
"2","H1x2","H","88","88","1","2","3",2,1,2,0.073958276,0.089494064,0.08172617,0.444684717,0.324348872,3,0.359687208,0.314891198,0.337289203,0.450348189,0.341764625
"49","H2x2","H","45","32","2","2","1",1,0,2,0.117340546,0.153679595,0.135510071,0.472367364,0.335025761,1,0.100567918,0.065934428,0.083251173,0.449437574,0.348804773
"96","H3x2","H","78","78","3","2","1",3,2,4,0.158952902,0.189029934,0.173991418,0.467481796,0.329468481,3,0.352302062,0.322869557,0.337585809,0.451015475,0.348167018
"143","H4x2","H","49","49","4","2","0",1,0,1,0.02319871,0.031181963,0.027190337,0.460458283,0.329338404,1,0.098588651,0.05261459,0.075601621,0.448986178,0.346919058
"190","H5x2","H","60","83","5","2","1",2,1,3,0.194600948,0.20947701,0.202038979,0.472533422,0.326261028,2,0.203405125,0.19750764,0.200456383,0.448424468,0.3497326
"237","H6x2","H","94","94","6","2","1",3,2,3,0.131148677,0.158266872,0.144707775,0.467737746,0.326414446,3,0.133054212,0.274430146,0.203742179,0.471013837,0.35017046
